Season,PowerSeed,TeamName
2013,43,Minnesota
2013,44,St Mary's CA
2013,45,Mississippi
2013,46,California
2013,47,Akron
2013,48,Oregon
2013,49,La Salle
2013,50,Montana
2013,51,S Dakota St
2013,52,New Mexico St
2013,53,Harvard
2013,54,Davidson
2013,55,Northwestern LA
2013,56,Valparaiso
2013,57,Iona
2013,58,Pacific
2013,59,FL Gulf Coast
2013,60,SUNY Albany
2013,61,Southern Univ
2013,62,James Madison
2013,63,WKU
2013,64,NC A&T
2012,1,Kentucky
2012,2,Syracuse
2012,3,North Carolina
2012,4,Michigan St
2012,5,Missouri
2012,6,Kansas
2012,7,Ohio St
2012,8,Duke
2012,9,Marquette
2012,10,Georgetown
2012,11,Florida St
2012,12,Baylor
2012,13,Louisville
2012,14,Michigan
2012,15,Wisconsin
2012,16,Indiana
2012,17,New Mexico
2012,18,Temple
2012,19,Vanderbilt
2012,20,Wichita St
2012,21,Murray St
2012,22,San Diego St
2012,23,Cincinnati
2012,24,UNLV
2012,25,Florida
2012,26,St Mary's CA
2012,27,Gonzaga
2012,28,Notre Dame
2012,29,Memphis
2012,30,Creighton
2012,31,Kansas St
2012,32,Iowa St
2012,33,St Louis
2012,34,Alabama
2012,35,Southern Miss
2012,36,Connecticut
2012,37,Virginia
2012,38,Purdue
2012,39,West Virginia
2012,40,Xavier
2012,41,Colorado St
2012,42,NC State
2012,43,Texas
2012,44,Colorado
2012,45,Long Beach St
2012,46,South Florida
2012,47,Harvard
2012,48,VCU
2012,49,Davidson
2012,50,Ohio
2012,51,Montana
2012,52,New Mexico St
2012,53,BYU
2012,54,Belmont
2012,55,St Bonaventure
2012,56,S Dakota St
2012,57,Norfolk St
2012,58,Detroit
2012,59,Loyola MD
2012,60,Lehigh
2012,61,LIU Brooklyn
2012,62,Vermont
2012,63,UNC Asheville
2012,64,WKU
2011,1,Ohio St
2011,2,Kansas
2011,3,Pittsburgh
2011,4,Duke
2011,5,San Diego St
2011,6,Florida
2011,7,Notre Dame
2011,8,North Carolina
2011,9,Connecticut
2011,10,BYU
2011,11,Purdue
2011,12,Syracuse
2011,13,Texas
2011,14,Wisconsin
2011,15,Louisville
2011,16,Kentucky
2011,17,Arizona
2011,18,Kansas St
2011,19,Vanderbilt
2011,20,West Virginia
2011,21,Cincinnati
2011,22,St John's
2011,23,Georgetown
2011,24,Xavier
2011,25,Temple
2011,26,UCLA
2011,27,Texas A&M
2011,28,Washington
2011,29,Michigan
2011,30,Butler
2011,31,UNLV
2011,32,George Mason
2011,33,Tennessee
2011,34,Old Dominion
2011,35,Illinois
2011,36,Villanova
2011,37,Penn St
2011,38,Michigan St
2011,39,Florida St
2011,40,Georgia
2011,41,Missouri
2011,42,Gonzaga
2011,43,VCU
2011,44,Marquette
2011,45,Memphis
2011,46,Utah St
2011,47,Richmond
2011,48,Clemson
2011,49,Oakland
2011,50,Belmont
2011,51,Morehead St
2011,52,Princeton
2011,53,Bucknell
2011,54,Wofford
2011,55,St Peter's
2011,56,Indiana St
2011,57,N Colorado
2011,58,Santa Barbara
2011,59,Akron
2011,60,LIU Brooklyn
2011,61,Hampton
2011,62,UNC Asheville
2011,63,Boston Univ
2011,64,UT San Antonio
2010,1,Kansas
2010,2,Kentucky
2010,3,Duke
2010,4,Syracuse
2010,5,Kansas St
2010,6,Villanova
2010,7,West Virginia
2010,8,Ohio St
2010,9,Pittsburgh
2010,10,Baylor
2010,11,New Mexico
2010,12,Georgetown
2010,13,Vanderbilt
2010,14,Purdue
2010,15,Wisconsin
2010,16,Maryland
2010,17,Butler
2010,18,Texas A&M
2010,19,Temple
2010,20,Michigan St
2010,21,Xavier
2010,22,Notre Dame
2010,23,Marquette
2010,24,Tennessee
2010,25,BYU
2010,26,Richmond
2010,27,Clemson
2010,28,Oklahoma St
2010,29,Gonzaga
2010,30,California
2010,31,Texas
2010,32,UNLV
2010,33,Florida St
2010,34,Louisville
2010,35,Wake Forest
2010,36,Northern Iowa
2010,37,Florida
2010,38,St Mary's CA
2010,39,Missouri
2010,40,Georgia Tech
2010,41,Minnesota
2010,42,Old Dominion
2010,43,Washington
2010,44,San Diego St
2010,45,UTEP
2010,46,Utah St
2010,47,Cornell
2010,48,New Mexico St
2010,49,Murray St
2010,50,Siena
2010,51,Wofford
2010,52,Houston
2010,53,Oakland
2010,54,Sam Houston St
2010,55,Montana
2010,56,Ohio
2010,57,North Texas
2010,58,Robert Morris
2010,59,Morgan St
2010,60,UC Santa Barbara
2010,61,Vermont
2010,62,Ark Pine Bluff
2010,63,ETSU
2010,64,Lehigh
2003,1,Kentucky
2003,2,Texas
2003,3,Oklahoma
2003,4,Arizona
2003,5,Kansas
2003,6,Wake Forest
2003,7,Florida
2003,8,Pittsburgh
2003,9,Duke
2003,10,Syracuse
2003,11,Xavier
2003,12,Marquette
2003,13,Illinois
2003,14,Louisville
2003,15,Stanford
2003,16,Dayton
2003,17,Notre Dame
2003,18,Mississippi St
2003,19,Connecticut
2003,20,Wisconsin
2003,21,Creighton
2003,22,Oklahoma St
2003,23,Maryland
2003,24,Missouri
2003,25,Memphis
2003,26,St Joseph's PA
2003,27,Michigan St
2003,28,Indiana
2003,29,Cincinnati
2003,30,California
2003,31,LSU
2003,32,Oregon
2003,33,Gonzaga
2003,34,NC State
2003,35,Purdue
2003,36,Utah
2003,37,Arizona St
2003,38,Auburn
2003,39,Colorado
2003,40,Alabama
2003,41,C Michigan
2003,42,Penn
2003,43,UNC Wilmington
2003,44,S Illinois
2003,45,WI Milwaukee
2003,46,Butler
2003,47,BYU
2003,48,Weber St
2003,49,WKU
2003,50,Austin Peay
2003,51,San Diego
2003,52,Tulsa
2003,53,Colorado St
2003,54,Manhattan
2003,55,Troy
2003,56,Holy Cross
2003,57,Utah St
2003,58,ETSU
2003,59,Sam Houston St
2003,60,Wagner
2003,61,Vermont
2003,62,S Carolina St
2003,63,UNC Asheville
2003,64,IUPUI
2004,1,Kentucky
2004,2,Duke
2004,3,Stanford
2004,4,St Joseph's PA
2004,5,Oklahoma St
2004,6,Connecticut
2004,7,Mississippi St
2004,8,Gonzaga
2004,9,Pittsburgh
2004,10,NC State
2004,11,Texas
2004,12,Georgia Tech
2004,13,Wake Forest
2004,14,Maryland
2004,15,Cincinnati
2004,16,Kansas
2004,17,Florida
2004,18,Syracuse
2004,19,Illinois
2004,20,Providence
2004,21,Wisconsin
2004,22,Vanderbilt
2004,23,North Carolina
2004,24,Boston College
2004,25,Memphis
2004,26,DePaul
2004,27,Xavier
2004,28,Michigan St
2004,29,Texas Tech
2004,30,Alabama
2004,31,Seton Hall
2004,32,Washington
2004,33,Charlotte
2004,34,S Illinois
2004,35,Arizona
2004,36,UAB
2004,37,South Carolina
2004,38,Dayton
2004,39,Louisville
2004,40,Nevada
2004,41,Richmond
2004,42,W Michigan
2004,43,Air Force
2004,44,Utah
2004,45,Manhattan
2004,46,BYU
2004,47,Murray St
2004,48,Pacific
2004,49,VA Commonwealth
2004,50,UTEP
2004,51,ETSU
2004,52,IL Chicago
2004,53,UCF
2004,54,Louisiana
2004,55,Princeton
2004,56,Northern Iowa
2004,57,E Washington
2004,58,Vermont
2004,59,Monmouth NJ
2004,60,Valparaiso
2004,61,Liberty
2004,62,UT San Antonio
2004,63,Alabama St
2004,64,Florida A&M
2005,1,Illinois
2005,2,North Carolina
2005,3,Duke
2005,4,Washington
2005,5,Wake Forest
2005,6,Kentucky
2005,7,Connecticut
2005,8,Oklahoma St
2005,9,Gonzaga
2005,10,Oklahoma
2005,11,Kansas
2005,12,Arizona
2005,13,Louisville
2005,14,Syracuse
2005,15,Florida
2005,16,Boston College
2005,17,Georgia Tech
2005,18,Michigan St
2005,19,Villanova
2005,20,Alabama
2005,21,Texas Tech
2005,22,Utah
2005,23,Wisconsin
2005,24,LSU
2005,25,West Virginia
2005,26,Cincinnati
2005,27,Charlotte
2005,28,S Illinois
2005,29,Pacific
2005,30,Stanford
2005,31,Minnesota
2005,32,Texas
2005,33,Pittsburgh
2005,34,Mississippi St
2005,35,Iowa St
2005,36,Nevada
2005,37,Creighton
2005,38,Iowa
2005,39,NC State
2005,40,St Mary's CA
2005,41,UCLA
2005,42,UTEP
2005,43,Northern Iowa
2005,44,UAB
2005,45,G Washington
2005,46,Old Dominion
2005,47,New Mexico
2005,48,WI Milwaukee
2005,49,Louisiana
2005,50,Vermont
2005,51,Ohio
2005,52,Penn
2005,53,Winthrop
2005,54,Niagara
2005,55,Bucknell
2005,56,Utah St
2005,57,Chattanooga
2005,58,E Kentucky
2005,59,UCF
2005,60,SE Louisiana
2005,61,Montana
2005,62,Delaware St
2005,63,Oakland
2005,64,F Dickinson
2006,1,Duke
2006,2,Connecticut
2006,3,Villanova
2006,4,Memphis
2006,5,UCLA
2006,6,Ohio St
2006,7,Tennessee
2006,8,Texas
2006,9,Gonzaga
2006,10,Florida
2006,11,North Carolina
2006,12,Iowa
2006,13,Kansas
2006,14,Boston College
2006,15,Illinois
2006,16,LSU
2006,17,Pittsburgh
2006,18,Nevada
2006,19,Washington
2006,20,Syracuse
2006,21,Indiana
2006,22,Oklahoma
2006,23,Michigan St
2006,24,West Virginia
2006,25,Marquette
2006,26,Georgetown
2006,27,Wichita St
2006,28,California
2006,29,Arkansas
2006,30,Arizona
2006,31,Kentucky
2006,32,G Washington
2006,33,Bucknell
2006,34,Wisconsin
2006,35,UAB
2006,36,UNC Wilmington
2006,37,Alabama
2006,38,Northern Iowa
2006,39,Seton Hall
2006,40,NC State
2006,41,San Diego St
2006,42,WI Milwaukee
2006,43,George Mason
2006,44,S Illinois
2006,45,Kent
2006,46,Montana
2006,47,Utah St
2006,48,Texas A&M
2006,49,Bradley
2006,50,Pacific
2006,51,Air Force
2006,52,Iona
2006,53,Xavier
2006,54,South Alabama
2006,55,Murray St
2006,56,Northwestern LA
2006,57,Belmont
2006,58,Davidson
2006,59,Winthrop
2006,60,Penn
2006,61,Oral Roberts
2006,62,Monmouth NJ
2006,63,SUNY Albany
2006,64,Southern Univ
2007,1,Florida
2007,2,North Carolina
2007,3,Ohio St
2007,4,Kansas
2007,5,UCLA
2007,6,Memphis
2007,7,Georgetown
2007,8,Wisconsin
2007,9,Pittsburgh
2007,10,Texas A&M
2007,11,Washington St
2007,12,Oregon
2007,13,S Illinois
2007,14,Virginia
2007,15,Texas
2007,16,Maryland
2007,17,Virginia Tech
2007,18,Tennessee
2007,19,USC
2007,20,Butler
2007,21,Duke
2007,22,Louisville
2007,23,Vanderbilt
2007,24,Notre Dame
2007,25,Indiana
2007,26,Nevada
2007,27,Boston College
2007,28,UNLV
2007,29,Kentucky
2007,30,BYU
2007,31,Marquette
2007,32,Arizona
2007,33,Villanova
2007,34,Xavier
2007,35,Michigan St
2007,36,Purdue
2007,37,Gonzaga
2007,38,Creighton
2007,39,Texas Tech
2007,40,Georgia Tech
2007,41,VCU
2007,42,Stanford
2007,43,G Washington
2007,44,Winthrop
2007,45,Illinois
2007,46,Long Beach St
2007,47,Arkansas
2007,48,Old Dominion
2007,49,Holy Cross
2007,50,SUNY Albany
2007,51,New Mexico St
2007,52,Davidson
2007,53,Davidson
2007,54,Penn
2007,55,Oral Roberts
2007,56,Miami OH
2007,57,Weber St
2007,58,North Texas
2007,59,Belmont
2007,60,TAM C. Christi
2007,61,Niagara
2007,62,Central Conn
2007,63,E Kentucky
2007,64,Jackson St
2008,1,North Carolina
2008,2,Memphis
2008,3,UCLA
2008,4,Kansas
2008,5,Georgetown
2008,6,Duke
2008,7,Texas
2008,8,Tennessee
2008,9,Wisconsin
2008,10,Xavier
2008,11,Stanford
2008,12,Louisville
2008,13,Vanderbilt
2008,14,Connecticut
2008,15,Pittsburgh
2008,16,Washington St
2008,17,Clemson
2008,18,Drake
2008,19,Michigan St
2008,20,Notre Dame
2008,21,USC
2008,22,Purdue
2008,23,Marquette
2008,24,Oklahoma
2008,25,Gonzaga
2008,26,West Virginia
2008,27,Miami FL
2008,28,Butler
2008,29,UNLV
2008,30,BYU
2008,31,Mississippi St
2008,32,Indiana
2008,33,Kent
2008,34,Texas A&M
2008,35,Oregon
2008,36,Arkansas
2008,37,Davidson
2008,38,Arizona
2008,39,St Mary's CA
2008,40,South Alabama
2008,41,Kansas St
2008,42,Baylor
2008,43,Kentucky
2008,44,St Joseph's PA
2008,45,Villanova
2008,46,WKU
2008,47,Temple
2008,48,George Mason
2008,49,Siena
2008,50,San Diego
2008,51,Oral Roberts
2008,52,Winthrop
2008,53,CS Fullerton
2008,54,Georgia
2008,55,Cornell
2008,56,Boise St
2008,57,UMBC
2008,58,Belmont
2008,59,Austin Peay
2008,60,American Univ
2008,61,Portland St
2008,62,MS Valley St
2008,63,UT Arlington
2008,64,Mt St Mary's
2009,1,Louisville
2009,2,Pittsburgh
2009,3,North Carolina
2009,4,Connecticut
2009,5,Memphis
2009,6,Oklahoma
2009,7,Duke
2009,8,Michigan St
2009,9,Missouri
2009,10,Syracuse
2009,11,Villanova
2009,12,Kansas
2009,13,Washington
2009,14,Gonzaga
2009,15,Xavier
2009,16,Wake Forest
2009,17,Purdue
2009,18,Illinois
2009,19,Florida St
2009,20,Utah
2009,21,Marquette
2009,22,Arizona St
2009,23,UCLA
2009,24,West Virginia
2009,25,California
2009,26,Clemson
2009,27,Texas
2009,28,Boston College
2009,29,BYU
2009,30,LSU
2009,31,Oklahoma St
2009,32,Ohio St
2009,33,Texas A&M
2009,34,Butler
2009,35,Tennessee
2009,36,Siena
2009,37,Maryland
2009,38,Michigan
2009,39,Minnesota
2009,40,USC
2009,41,Utah St
2009,42,Temple
2009,43,VCU
2009,44,Dayton
2009,45,Northern Iowa
2009,46,WKU
2009,47,Wisconsin
2009,48,Arizona
2009,49,Mississippi St
2009,50,Akron
2009,51,Portland St
2009,52,Cleveland St
2009,53,Cornell
2009,54,SF Austin
2009,55,American Univ
2009,56,N Dakota St
2009,57,CS Northridge
2009,58,Morgan St
2009,59,Binghamton
2009,60,Robert Morris
2009,61,Chattanooga
2009,62,Radford
2009,63,ETSU
2009,64,Morehead St
2018,1,Virginia
2018,2,Villanova
2018,3,Kansas
2018,4,Xavier
2018,5,North Carolina
2018,6,Duke
2018,7,Purdue
2018,8,Cincinnati
2018,9,Michigan
2018,10,Michigan St
2018,11,Texas Tech
2018,12,Tennessee
2018,13,Gonzaga
2018,14,Auburn
2018,15,Wichita St
2018,16,Arizona
2018,17,Ohio St
2018,18,Clemson
2018,19,West Virginia
2018,20,Kentucky
2018,21,Houston
2018,22,TCU
2018,23,Florida
2018,24,Miami FL
2018,25,Texas A&M
2018,26,Rhode Island
2018,27,Arkansas
2018,28,Nevada
2018,29,Missouri
2018,30,Seton Hall
2018,31,Virginia Tech
2018,32,Creighton
2018,33,Florida St
2018,34,NC State
2018,35,Alabama
2018,36,Kansas St
2018,37,Providence
2018,38,Oklahoma
2018,39,Butler
2018,40,Texas
2018,41,San Diego St
2018,42,Syracuse
2018,43,St Bonaventure
2018,44,Loyola-Chicago
2018,45,S Dakota St
2018,46,New Mexico St
2018,47,Murray St
2018,48,Davidson
2018,49,UNC Greensboro
2018,50,Col Charleston
2018,51,Marshall
2018,52,Buffalo
2018,53,Montana
2018,54,Bucknell
2018,55,SF Austin
2018,56,Wright St
2018,57,Lipscomb
2018,58,Iona
2018,59,CS Fullerton
2018,60,Georgia St
2018,61,TX Southern
2018,62,Penn
2018,63,Radford
2018,64,UMBC
2019,1,Duke
2019,2,Virginia
2019,3,North Carolina
2019,4,Gonzaga
2019,5,Michigan
2019,6,Kentucky
2019,7,Tennessee
2019,8,Michigan St
2019,9,Texas Tech
2019,10,Houston
2019,11,Purdue
2019,12,LSU
2019,13,Florida St
2019,14,Kansas
2019,15,Kansas St
2019,16,Virginia Tech
2019,17,Marquette
2019,18,Auburn
2019,19,Wisconsin
2019,20,Mississippi St
2019,21,Buffalo
2019,22,Iowa St
2019,23,Villanova
2019,24,Maryland
2019,25,Nevada
2019,26,Wofford
2019,27,Cincinnati
2019,28,Louisville
2019,29,Syracuse
2019,30,Utah St
2019,31,Mississippi
2019,32,VCU
2019,33,Baylor
2019,34,Washington
2019,35,Oklahoma
2019,36,UCF
2019,37,Florida
2019,38,Seton Hall
2019,39,Iowa
2019,40,Minnesota
2019,41,Arizona St
2019,42,Ohio St
2019,43,St Mary's CA
2019,44,Belmont
2019,45,Murray St
2019,46,New Mexico St
2019,47,Oregon
2019,48,Liberty
2019,49,Vermont
2019,50,Northeastern
2019,51,UC Irvine
2019,52,St Louis
2019,53,N Kentucky
2019,54,Georgia St
2019,55,Old Dominion
2019,56,Yale
2019,57,Montana
2019,58,Abilene Chr
2019,59,Colgate
2019,60,Bradley
2019,61,F Dickinson
2019,62,Iona
2019,63,Gardner Webb
2019,64,N Dakota St
2020,1,Kansas
2020,2,Gonzaga
2020,3,Baylor
2020,4,Dayton
2020,5,Florida St
2020,6,Creighton
2020,7,San Diego St
2020,8,Kentucky
2020,9,Villanova
2020,10,Michigan St
2020,11,Seton Hall
2020,12,Duke
2020,13,Maryland
2020,14,Louisville
2020,15,Oregon
2020,16,Wisconsin
2020,17,Butler
2020,18,Ohio St
2020,19,Michigan
2020,20,Auburn
2020,21,Penn St
2020,22,Virginia
2020,23,BYU
2020,24,Iowa
2020,25,West Virginia
2020,26,Illinois
2020,27,Arizona
2020,28,Providence
2020,29,Colorado
2020,30,St Mary's CA
2020,31,LSU
2020,32,Houston
2020,33,Florida
2020,34,Rutgers
2020,35,Oklahoma
2020,36,Marquette
2020,37,Utah St
2020,38,USC
2020,39,Texas Tech
2020,40,Arizona St
2020,41,UCLA
2020,42,Cincinnati
2020,43,Indiana
2020,44,ETSU
2020,45,Richmond
2020,46,SF Austin
2020,47,Yale
2020,48,Liberty
2020,49,Akron
2020,50,Vermont
2020,51,New Mexico St
2020,52,North Texas
2020,53,Hofstra
2020,54,Bradley
2020,55,E Washington
2020,56,Belmont
2020,57,N Kentucky
2020,58,Ark Little Rock
2020,59,UC Irvine
2020,60,N Dakota St
2020,61,Boston Univ
2020,62,Winthrop
2020,63,Prairie View
2020,64,Siena
2021,1,Gonzaga
2021,2,Baylor
2021,3,Illinois
2021,4,Michigan
2021,5,Alabama
2021,6,Houston
2021,7,Ohio St
2021,8,Iowa
2021,9,Texas
2021,10,West Virginia
2021,11,Arkansas
2021,12,Kansas
2021,13,Florida St
2021,14,Oklahoma St
2021,15,Purdue
2021,16,Virginia
2021,17,Colorado
2021,18,Tennessee
2021,19,Villanova
2021,20,Creighton
2021,21,BYU
2021,22,San Diego St
2021,23,Texas Tech
2021,24,USC
2021,25,Connecticut
2021,26,Clemson
2021,27,Florida
2021,28,Oregon
2021,29,LSU
2021,30,Loyola-Chicago
2021,31,North Carolina
2021,32,Oklahoma
2021,33,St Bonaventure
2021,34,Georgia Tech
2021,35,Wisconsin
2021,36,Missouri
2021,37,Maryland
2021,38,Rutgers
2021,39,Virginia Tech
2021,40,VCU
2021,41,UCLA
2021,42,Syracuse
2021,43,Utah St
2021,44,Drake
2021,45,Georgetown
2021,46,Oregon St
2021,47,Winthrop
2021,48,UC Santa Barbara
2021,49,UNC Greensboro
2021,50,Liberty
2021,51,North Texas
2021,52,Ohio
2021,53,Abilene Chr
2021,54,Morehead St
2021,55,Colgate
2021,56,E Washington
2021,57,Iona
2021,58,Cleveland St
2021,59,Oral Roberts
2021,60,Grand Canyon
2021,61,TX Southern
2021,62,Drexel
2021,63,Hartford
2021,64,Norfolk St
2022,1,Gonzaga
2022,2,Arizona
2022,3,Kansas
2022,4,Baylor
2022,5,Kentucky
2022,6,Auburn
2022,7,Villanova
2022,8,Duke
2022,9,Purdue
2022,10,Wisconsin
2022,11,Tennessee
2022,12,Texas Tech
2022,13,UCLA
2022,14,Providence
2022,15,Illinois
2022,16,Arkansas
2022,17,St Mary's CA
2022,18,Iowa
2022,19,Houston
2022,20,Connecticut
2022,21,Texas
2022,22,LSU
2022,23,Colorado St
2022,24,Alabama
2022,25,Murray St
2022,26,USC
2022,27,Ohio St
2022,28,Michigan St
2022,29,North Carolina
2022,30,San Diego St
2022,31,Seton Hall
2022,32,Boise St
2022,33,Marquette
2022,34,Creighton
2022,35,TCU
2022,36,Memphis
2022,37,San Francisco
2022,38,Miami FL
2022,39,Loyola-Chicago
2022,40,Davidson
2022,41,Virginia Tech
2022,42,Iowa St
2022,43,Michigan
2022,44,Notre Dame
2022,45,Indiana
2022,46,Richmond
2022,47,UAB
2022,48,New Mexico St
2022,49,Akron
2022,50,S Dakota St
2022,51,Chattanooga
2022,52,Vermont
2022,53,Yale
2022,54,Colgate
2022,55,Longwood
2022,56,Montana St
2022,57,St Peter's
2022,58,Jacksonville St
2022,59,Delaware
2022,60,Cal St
2022,61,Norfolk St
2022,62,TX Southern
2022,63,Wright St
2022,64,CS Fullerton
2023,1,Alabama
2023,2,Houston
2023,3,Kansas
2023,4,Purdue
2023,5,Marquette
2023,6,UCLA
2023,7,Texas
2023,8,Arizona
2023,9,Kansas St
2023,10,Gonzaga
2023,11,Xavier
2023,12,Baylor
2023,13,Tennessee
2023,14,Connecticut
2023,15,Indiana
2023,16,Virginia
2023,17,Duke
2023,18,St Mary's CA
2023,19,Miami FL
2023,20,San Diego St
2023,21,Kentucky
2023,22,TCU
2023,23,Iowa St
2023,24,Creighton
2023,25,Michigan St
2023,26,Northwestern
2023,27,Texas A&M
2023,28,Missouri
